CompanyID,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
1,Epiq Systems,"New York, NY",5001 to 10000 employees,1988,Company - Private,Legal,Accounting & Legal,$1 to $2 billion (USD)
2,Akima Management Services,"Herndon, VA",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
3,"Dexcom, Inc.","San Diego, CA",1001 to 5000 employees,1999,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
4,Assembly,"New York, NY",5001 to 10000 employees,1980,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD)
5,Stantec,"Edmonton, Canada",10000+ employees,1954,Company - Public,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD)
6,Milliman,"Seattle, WA",1001 to 5000 employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
7,Informa Intelligence,"London, United Kingdom",1001 to 5000 employees,1998,Company - Public,Consulting,Business Services,$1 to $2 billion (USD)
8,ICF,"Fairfax, VA",5001 to 10000 employees,1999,Company - Public,Consulting,Business Services,$1 to $2 billion (USD)
9,AppleOne,"Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
10,Kforce,"Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
11,N.F. Smith & Associates,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
12,University of Florida,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
13,Arizona State University,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
14,UTHealth Houston,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
15,Dallas Independent School District,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
16,Dallas ISD,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
17,Midland Credit Management,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
18,Vantage Bank Texas,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
19,Hilltop Holdings,"Houston, TX",201 to 500 employees,1984,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD)
20,Encore Capital Group,"Gainesville, FL",10000+ employees,1853,College / University,Colleges & Universities,Education,$1 to $2 billion (USD)
21,Tempus,"Tempe, AZ",5001 to 10000 employees,1885,College / University,Colleges & Universities,Education,$1 to $2 billion (USD)
22,Nuveen,"Houston, TX",5001 to 10000 employees,1972,College / University,Colleges & Universities,Education,$1 to $2 billion (USD)
23,Capital Group,"Dallas, TX",10000+ employees,1867,School / School District,Preschool & Child Care,Education,$1 to $2 billion (USD)
24,Freedom Mortgage,"Dallas, TX",10000+ employees,1867,School / School District,Preschool & Child Care,Education,$1 to $2 billion (USD)
25,DMGT,"San Antonio, TX",201 to 500 employees,1985,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
26,Apollo Global Management,"Dallas, TX",1001 to 5000 employees,1998,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
27,Rush University Medical Center,"San Diego, CA",5001 to 10000 employees,1953,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
28,Nationwide Children's Hospital,"Washington, DC",51 to 200 employees,1999,Company - Private,Financial Transaction Processing,Finance,$1 to $2 billion (USD)
29,Nationwide Childrens Hospital,"Washington, DC",51 to 200 employees,1999,Company - Private,Financial Transaction Processing,Finance,$1 to $2 billion (USD)
30,PIH Health,"Chicago, IL",1001 to 5000 employees,1898,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
31,"Premier, Inc.","Los Angeles, CA",5001 to 10000 employees,1931,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
32,RWJBarnabas Health,"Mount Laurel, NJ",1001 to 5000 employees,1990,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
33,AIDS Healthcare Foundation,"Mount Laurel, NJ",1001 to 5000 employees,1990,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
34,Mount Sinai Health System,"Mount Laurel, NJ",1001 to 5000 employees,1990,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
35,Allscripts,"Mount Laurel, NJ",1001 to 5000 employees,1990,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
36,Cadence Design Systems,"London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
37,"Cadence Design Systems, Inc.","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
38,F5 Networks,"New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
39,Square,"Chicago, IL",5001 to 10000 employees,1837,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
40,Splunk,"Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
41,"Internet Brands, Inc.","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
42,Internet Brands,"Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
43,Twilio,"Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
44,Sharp Electronics Corporation,"Whittier, CA",5001 to 10000 employees,1959,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
45,Atos Syntel Inc.,"Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
46,UST Global,"West Orange, NJ",10000+ employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
47,DJO Global,"Los Angeles, CA",1001 to 5000 employees,1987,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
48,New York Times,"New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
49,"John Wiley & Sons, Inc.","New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
50,Hulu,"New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
51,"Take-Two Interactive Software, Inc.","Chicago, IL",5001 to 10000 employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
52,Take-Two,"San Jose, CA",5001 to 10000 employees,1988,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
53,Viasat,"San Jose, CA",5001 to 10000 employees,1988,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
54,BDP International,"San Jose, CA",5001 to 10000 employees,1988,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
