JobID,Job_Title,Salary_estimate_range,Min_Salary_Estimate,Max_Salary_Estimate,Location
10001,Sr. Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10002,Data Analyst,$73K-$89K ,73000,89000,"San Antonio, TX"
10003,Data Analust IV,$76K-$122K ,76000,122000,"San Diego, CA"
10004,Jr. Data Analyst,$42K-$76K ,42000,76000,"Austin, TX"
10005,Data Analyst,$43K-$94K ,43000,94000,"Chandler, AZ"
10006,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10007,Data Analyst,$84K-$90K ,84000,90000,"New York, NY"
10008,Data Analyst,$47K-$76K ,47000,76000,"Houston, TX"
10009,Data Analyst,$60K-$66K ,60000,66000,"Downers Grove, IL"
10010,Data Analyst,$57K-$104K ,57000,104000,"San Francisco, CA"
10011,Data Analyst,$113K-$132K ,113000,132000,"Los Angeles, CA"
10012,Data Analyst,$113K-$132K ,113000,132000,"Los Angeles, CA"
10013,Data Analyst,$43K-$94K ,43000,94000,"Chandler, AZ"
10014,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10015,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10016,Sr. Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10017,Data Analyst,$54K-$75K ,54000,75000,"Charlotte, NC"
10018,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10019,Data Analyst,$49K-$91K ,49000,91000,"Denver, CO"
10020,Data Analyst,$42K-$76K ,42000,76000,"Evanston, IL"
10021,Data Analyst,$35K-$45K ,35000,45000,"Los Angeles, CA"
10022,Jr. Data Analyst,$51K-$88K ,51000,88000,"New York, NY"
10023,Sr. Data Analyst,$44K-$78K ,44000,78000,"Plano, TX"
10024,Jr. Data Analyst,$48K-$88K ,48000,88000,"Plano, TX"
10025,Data Analyst,$48K-$88K ,48000,88000,"Plano, TX"
10026,Sr. Data Analyst,$37K-$68K ,37000,68000,"San Antonio, TX"
10027,Data Science Analyst,$73K-$89K ,73000,89000,"San Antonio, TX"
10028,Data Analyst,$65K-$120K ,65000,120000,"San Ramon, CA"
10029,Data Analyst,$27K-$52K ,27000,52000,"Summit, NJ"
10030,Business Data Analyst,$37K-$44K ,37000,44000,"Wilmington, DE"
10031,Data Analyst,$50K-$93K ,50000,93000,"Wilmington, DE"
10032,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10033,Data Analyst,$30K-$54K ,30000,54000,"Gainesville, FL"
10034,Data Analyst,$46K-$102K ,46000,102000,"Tempe, AZ"
10035,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10036,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10037,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10038,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10039,Data Analyst,$37K-$68K ,37000,68000,"San Antonio, TX"
10040,Data Analyst,$24K-$48K ,24000,48000,"Irving, TX"
10041,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10042,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10043,Sr. Data Analyst,$97K-$129K ,97000,129000,"Chicago, IL"
10044,Sr. Data Analyst,$42K-$76K ,42000,76000,"Chicago, IL"
10045,Data Analyst,$37K-$70K ,37000,70000,"Los Angeles, CA"
10046,Sr. Business Analyst,$50K-$93K ,50000,93000,"Marlton, NJ"
10047,Data Analyst,$64K-$113K ,64000,113000,"Marlton, NJ"
10048,Business Data Analyst,$37K-$44K ,37000,44000,"Mount Laurel, NJ"
10049,Data Analyst,$64K-$113K ,64000,113000,"Mount Laurel, NJ"
10050,Data Analyst,$37K-$66K ,37000,66000,"New York, NY"
10051,Data Analyst,$65K-$81K ,65000,81000,"El Segundo, CA"
10052,Sr. Data Analyst,$65K-$81K ,65000,81000,"El Segundo, CA"
10053,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10054,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10055,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10056,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10057,Data Analyst,$46K-$86K ,46000,86000,"Columbus, OH"
10058,Data Analyst II,$113K-$132K ,113000,132000,"Whittier, CA"
10059,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10060,Data Analyst,$98K-$114K ,98000,114000,"West Orange, NJ"
10061,Data Analyst,$37K-$70K ,37000,70000,"Los Angeles, CA"
10062,Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
