Age,Gender,EducationLevel,JobTitle,YearsOfExperience,Salary
24,Male,Master's,Back end Developer,0,55538
22,Female,High School,Back end Developer,0,51832
24,Male,Master's,Back end Developer,0,55538
22,Female,High School,Back end Developer,0,51832
23,Female,Bachelor's,Senior Project Engineer,0,51831
23,Male,PhD,Software Engineer Manager,0,52612
23,Female,Bachelor's,Senior Project Engineer,0,52831
23,Male,PhD,Software Engineer Manager,0,52612
23,Male,PhD,Software Engineer Manager,0,52779
23,Male,PhD,Software Engineer Manager,0,52779
23,Female,Bachelor's,Senior Project Engineer,0,52831
23,Male,PhD,Software Engineer Manager,0,52612
23,Male,PhD,Software Engineer Manager,0,52779
23,Male,PhD,Software Engineer Manager,0,52779
23,Female,Bachelor's,Senior Project Engineer,0,52831
23,Male,PhD,Software Engineer Manager,0,52612
24,Female,Bachelor's,Marketing Analyst,0,40000
24,Female,Bachelor's,Marketing Analyst,0,40000
24,Female,Bachelor's,Marketing Analyst,0,40000
25,Female,Bachelor's,Marketing Analyst,0,40000
24,Male,Bachelor's,Junior Developer,1,40000
26,Male,Bachelor's,Junior Software Developer,1,35000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
25,Female,Master's,Data Analyst,1,100000
24,Male,Bachelor's,Data Analyst,1,90000
23,Male,Bachelor's,Data Analyst,1,95000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,95000
23,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
23,Male,Bachelor's,Data Analyst,1,90000
23,Male,Bachelor's,Data Analyst,1,92000
24,Male,Bachelor's,Data Analyst,1,95000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,95000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,92000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
